Date,Open,High,Low,Close,Adj Close,Volume
2006-10-17,303.250000,305.250000,301.250000,304.012512,245.368408,4265820
2006-10-18,302.799988,305.250000,301.250000,302.000000,243.744095,3835864
2006-10-19,303.000000,304.750000,296.500000,298.912506,241.252213,7037120
2006-10-20,299.299988,304.700012,299.299988,300.512512,242.543503,5205364
2006-10-23,300.812500,301.399994,298.037506,298.537506,240.949554,2263520
2006-10-26,295.000000,298.500000,292.524994,293.799988,237.125824,3021948
2006-10-27,294.000000,306.774994,294.000000,305.712494,246.740463,6959648
2006-10-30,303.774994,309.975006,303.774994,308.187500,248.738022,3006388
2006-10-31,310.000000,310.000000,304.774994,306.549988,247.416382,2924888
2006-11-01,306.500000,317.000000,305.037506,316.049988,255.083862,9349352
2006-11-02,316.000000,324.625000,315.200012,320.899994,258.998230,6467600
2006-11-03,322.212494,322.950012,317.274994,321.725006,259.664215,4759792
2006-11-06,322.500000,328.975006,320.250000,326.512512,263.528076,5760412
2006-11-07,328.750000,328.875000,321.287506,322.575012,260.350220,4128872
2006-11-08,322.812500,323.750000,310.075012,313.000000,252.622208,8946740
2006-11-09,315.000000,316.625000,310.750000,315.350006,254.518921,8429484
2006-11-10,319.975006,323.200012,313.262512,321.562500,259.532990,10665212
2006-11-13,321.500000,323.125000,319.924988,321.700012,259.644012,2234740
2006-11-14,325.000000,325.000000,318.250000,319.450012,257.828064,2464528
2006-11-15,319.937500,322.000000,314.537506,315.512512,254.650070,3827100
2006-11-16,319.000000,320.475006,315.000000,315.875000,254.942596,2898660
2006-11-17,317.875000,317.924988,313.512512,314.799988,254.074951,2095240
2006-11-20,314.987488,316.750000,309.125000,314.399994,253.752121,3192424
2006-11-21,313.750000,319.662506,313.750000,318.475006,257.041077,1996088
2006-11-22,319.274994,322.500000,318.250000,319.562500,257.918793,2496804
2006-11-23,320.274994,321.987488,317.149994,317.850006,256.536652,3475320
2006-11-24,317.924988,318.625000,314.524994,315.387512,254.549149,1762112
2006-11-27,315.812500,317.000000,312.487488,312.950012,252.581863,1900296
2006-11-28,318.600006,319.987488,310.549988,312.750000,252.420441,4124696
2006-11-29,313.712494,316.250000,311.412506,312.274994,252.037064,1555956
2006-11-30,317.500000,317.500000,310.250000,311.250000,251.209763,1966104
2006-12-01,312.799988,317.250000,312.000000,315.250000,254.438232,3009384
2006-12-04,315.250000,319.250000,313.875000,315.024994,254.256577,2255584
2006-12-05,337.500000,337.500000,316.375000,320.000000,258.271881,3604036
2006-12-06,321.149994,324.837494,317.649994,320.024994,258.292084,3866596
2006-12-07,319.012512,327.250000,319.012512,325.187500,262.458740,4510620
2006-12-08,327.500000,327.500000,315.762512,316.950012,255.810272,4492856
2006-12-11,316.750000,320.000000,306.250000,309.575012,249.857910,7142228
2006-12-12,309.200012,314.750000,295.250000,302.012512,243.754211,10803256
2006-12-13,303.875000,310.250000,300.500000,309.524994,249.817551,6247220
2006-12-14,312.100006,318.200012,309.774994,315.375000,254.539063,3730916
2006-12-15,315.750000,317.750000,311.000000,313.375000,252.924866,3347492
2006-12-18,315.750000,324.250000,311.250000,322.287506,260.118164,3244984
2006-12-19,324.450012,324.450012,307.750000,313.262512,252.834030,6971648
2006-12-20,315.000000,318.500000,307.787506,312.149994,251.936157,5323840
2006-12-21,317.500000,317.500000,310.787506,315.325012,254.498734,2964116
2006-12-22,315.500000,318.875000,314.000000,317.837494,256.526520,1598852
2006-12-26,318.024994,320.725006,317.399994,319.187500,257.616119,1746516
2006-12-27,320.024994,324.437500,320.024994,323.212494,260.864716,3446364
2006-12-28,324.625000,325.750000,317.287506,319.162506,257.595978,5280688
2006-12-29,319.375000,322.100006,316.312500,317.587494,256.324768,3020176
2007-01-02,313.137512,321.250000,313.137512,320.412506,258.604858,972608
2007-01-03,314.000000,322.950012,314.000000,321.200012,259.240448,1948380
2007-01-04,321.750000,325.000000,319.250000,320.087494,258.342529,3351096
2007-01-05,319.500000,327.924988,319.500000,322.149994,260.007172,3747748
2007-01-08,322.000000,322.149994,317.000000,319.274994,257.686768,2978464
2007-01-09,320.000000,322.000000,317.875000,320.112488,258.362701,1899396
2007-01-10,319.674988,322.725006,316.012512,318.325012,256.920013,3541736
2007-01-11,319.500000,324.625000,317.500000,323.787506,261.328766,2877392
2007-01-12,326.262512,336.237488,323.625000,335.024994,270.398560,4662940
2007-01-15,336.250000,343.075012,335.500000,341.162506,275.352142,4872716
2007-01-16,342.250000,343.000000,336.000000,336.750000,271.790833,1505788
2007-01-17,338.750000,340.450012,336.524994,337.450012,272.355804,2375936
2007-01-18,337.250000,345.875000,337.250000,341.750000,275.826324,3378296
2007-01-19,349.750000,352.250000,343.750000,345.062500,278.499817,5108392
2007-01-22,346.250000,347.975006,342.637512,343.362488,277.127777,2053236
2007-01-23,343.250000,345.250000,338.500000,340.212494,274.585388,1462500
2007-01-24,342.000000,343.500000,340.075012,342.187500,276.179443,1253348
2007-01-25,343.000000,344.250000,340.524994,342.412506,276.361084,3601216
2007-01-29,343.500000,348.500000,341.500000,345.450012,278.812622,1803560
2007-01-31,346.000000,347.500000,339.799988,341.149994,275.342072,4730060
2007-02-01,341.262512,344.512512,341.250000,343.887512,277.551514,1071708
2007-02-02,347.524994,348.337494,341.887512,343.075012,276.895752,3141504
2007-02-05,345.000000,348.000000,343.450012,346.987488,280.053467,1252616
2007-02-06,347.500000,352.000000,345.500000,347.250000,280.265381,2412404
2007-02-07,348.750000,349.750000,345.299988,348.587494,281.344879,1797120
2007-02-08,348.500000,349.750000,346.000000,348.837494,281.546661,1344260
2007-02-09,351.237488,352.250000,345.750000,347.062500,280.114044,3169284
2007-02-12,349.924988,349.924988,337.662506,338.975006,273.586670,2011212
2007-02-13,338.750000,345.250000,335.274994,341.662506,275.755737,1839856
2007-02-14,342.524994,347.250000,339.149994,344.287506,277.874390,1767384
2007-02-15,346.250000,352.750000,345.750000,351.725006,283.877106,1937236
2007-02-19,353.500000,357.500000,353.000000,354.562500,286.167267,2317952
2007-02-20,352.799988,361.200012,352.674988,353.637512,285.420715,4616628
2007-02-21,355.000000,356.000000,350.325012,351.537506,283.725800,1700236
2007-02-22,351.000000,356.500000,351.000000,353.450012,285.269409,4109784
2007-02-23,355.000000,360.687500,350.825012,353.200012,285.067627,5077128
2007-02-26,361.250000,361.250000,343.375000,351.799988,283.937653,6751480
2007-02-27,351.225006,353.600006,347.537506,351.237488,283.483704,3387932
2007-02-28,347.500000,347.500000,336.274994,338.649994,273.324310,9520784
2007-03-01,346.375000,350.000000,329.850006,341.687500,275.775909,6049908
2007-03-02,341.475006,342.000000,327.500000,329.337494,265.808197,5545148
2007-03-05,325.000000,325.000000,312.500000,314.799988,254.074951,7402916
2007-03-06,316.287506,326.500000,316.274994,324.850006,262.186401,4704156
2007-03-07,331.012512,332.750000,315.524994,322.337494,260.158508,5630864
2007-03-08,328.750000,334.625000,322.424988,333.700012,269.329163,6079768
2007-03-09,337.250000,337.500000,326.437500,329.625000,266.040222,3933888
2007-03-12,331.500000,333.625000,327.000000,329.000000,265.535828,2982076
2007-03-13,329.975006,332.950012,328.274994,331.725006,267.735168,1817704
2007-03-14,327.500000,327.500000,320.250000,321.262512,259.290863,3493972
2007-03-15,323.500000,327.500000,319.062500,320.937500,259.028595,4585028
2007-03-16,315.500000,326.250000,315.500000,324.950012,262.267090,4742656
2007-03-19,326.750000,329.250000,324.250000,328.500000,265.132263,1625468
2007-03-20,330.975006,333.012512,329.500000,330.262512,266.554810,1573768
2007-03-21,329.700012,336.174988,326.875000,335.012512,279.704559,2548172
2007-03-22,355.000000,355.000000,336.850006,343.562500,286.842987,2902460
2007-03-23,344.250000,346.000000,340.000000,344.799988,287.876251,2484040
2007-03-26,344.875000,345.837494,340.250000,341.299988,284.954041,1501444
2007-03-28,345.000000,345.000000,335.774994,337.162506,281.499603,2304516
2007-03-29,338.737488,341.774994,335.274994,339.024994,283.054626,3363388
2007-03-30,340.062500,343.375000,338.500000,342.087494,285.611572,2266696
2007-04-02,338.750000,340.725006,326.250000,328.375000,274.162872,4942972
2007-04-03,328.750000,336.500000,327.387512,335.299988,279.944641,3374572
2007-04-04,336.000000,342.000000,336.000000,340.787506,284.526154,1996616
2007-04-05,342.225006,342.225006,338.274994,339.387512,283.357269,1405984
2007-04-09,340.899994,346.750000,340.899994,345.950012,288.836395,1370752
2007-04-10,345.950012,347.000000,342.875000,345.462494,288.429321,1294632
2007-04-11,345.875000,349.500000,344.274994,346.750000,289.504333,1778720
2007-04-12,342.000000,347.950012,342.000000,346.912506,289.639954,1588096
2007-04-13,349.450012,353.750000,345.462494,352.662506,294.440674,2000392
2007-04-16,354.950012,366.250000,353.250000,365.000000,304.741364,2582852
2007-04-17,369.750000,371.950012,363.237488,369.012512,308.091461,4187796
2007-04-18,369.562500,373.750000,368.774994,371.612488,310.262177,2153992
2007-04-19,370.000000,374.875000,365.500000,373.225006,311.608521,5552376
2007-04-20,378.750000,386.250000,373.750000,385.312500,321.700470,3537480
2007-04-23,387.500000,390.000000,381.750000,388.524994,324.382599,2500804
2007-04-24,388.500000,396.500000,386.250000,395.112488,329.882477,2874576
2007-04-25,400.950012,401.287506,391.250000,399.962494,333.931885,3486280
2007-04-26,402.750000,406.200012,395.000000,399.187500,333.284729,7638816
2007-04-27,406.250000,406.250000,382.887512,384.549988,321.063751,4826912
2007-04-30,382.750000,393.612488,376.250000,390.024994,325.634918,3056144
2007-05-03,394.700012,406.950012,393.750000,405.774994,338.784698,3453280
2007-05-04,412.950012,412.950012,394.274994,395.637512,330.320892,6075664
2007-05-07,398.250000,404.450012,398.250000,401.362488,335.100708,3884480
2007-05-08,402.750000,403.649994,397.500000,398.412506,332.637726,2664224
2007-05-09,398.725006,400.000000,394.312500,399.274994,333.357788,2563008
2007-05-10,400.012512,403.500000,393.750000,395.350006,330.080841,2191060
2007-05-11,392.500000,399.875000,388.762512,397.562500,331.928040,5308580
2007-05-14,402.562500,406.750000,401.250000,405.225006,338.325562,3539944
2007-05-15,404.250000,405.812500,398.262512,399.462494,333.514374,2474440
2007-05-16,405.000000,411.174988,399.537506,408.600006,341.143402,3110948
2007-05-17,411.250000,422.037506,410.000000,421.212494,351.673645,3953992
2007-05-18,418.887512,426.250000,416.387512,424.850006,354.710632,3095988
2007-05-21,426.250000,445.000000,426.250000,440.387512,367.682983,3946780
2007-05-22,442.750000,445.000000,434.625000,443.812500,370.542572,4360960
2007-05-23,442.500000,446.250000,437.299988,438.937500,366.472351,2482372
2007-05-24,436.262512,440.250000,429.012512,431.350006,360.137543,3397740
2007-05-25,428.000000,434.250000,425.250000,431.687500,360.419281,3422580
2007-05-28,431.500000,437.462494,428.750000,430.700012,359.594788,1305196
2007-05-29,430.000000,441.450012,427.987488,438.687500,366.263672,3426480
2007-05-30,437.500000,445.000000,435.500000,438.237488,365.887878,3418704
2007-05-31,438.000000,442.700012,437.024994,440.049988,367.401215,2340116
2007-06-01,440.000000,444.750000,436.325012,437.587494,365.345215,1824712
2007-06-04,441.250000,441.250000,433.787506,434.950012,363.143188,1624220
2007-06-05,436.950012,437.750000,431.000000,436.262512,364.238953,2479076
2007-06-06,435.500000,438.000000,420.250000,421.837494,352.195404,3870208
2007-06-07,418.750000,426.487488,415.250000,416.975006,348.135712,3770164
2007-06-08,412.750000,424.125000,410.000000,415.037506,346.518036,4500472
2007-06-11,416.750000,423.375000,415.625000,417.049988,348.198303,2729040
2007-06-12,417.000000,427.750000,415.500000,424.887512,354.741974,4201672
2007-06-13,423.750000,427.250000,417.024994,418.375000,349.304596,3505692
2007-06-14,424.325012,426.000000,420.250000,424.049988,354.042694,2337228
2007-06-15,424.000000,427.500000,416.587494,420.000000,350.661316,3035020
2007-06-18,420.000000,423.375000,416.512512,417.812500,348.834961,2455516
2007-06-19,417.250000,432.975006,417.250000,431.787506,360.502777,3008120
2007-06-20,430.000000,435.750000,430.000000,433.012512,361.525543,2204380
2007-06-21,433.000000,436.250000,430.737488,433.287506,361.755127,2255196
2007-06-22,431.250000,433.500000,424.149994,426.012512,355.681183,3449456
2007-06-25,425.000000,428.250000,424.062500,426.512512,356.098633,2213272
2007-06-26,426.500000,429.850006,424.975006,425.875000,355.566406,2226960
2007-06-27,424.700012,427.562500,423.000000,424.412506,354.345276,1703580
2007-06-28,427.000000,428.000000,421.387512,423.062500,353.218201,2604920
2007-06-29,424.950012,427.875000,422.262512,425.075012,354.898468,2827116
2007-07-02,424.750000,427.450012,420.000000,421.125000,351.600555,2438472
2007-07-03,421.000000,427.899994,421.000000,426.362488,355.973419,2680108
2007-07-04,426.250000,432.750000,426.250000,428.924988,358.112762,2480012
2007-07-05,428.750000,430.887512,420.125000,426.975006,356.484833,2365468
2007-07-06,427.500000,433.250000,425.750000,427.862488,357.225769,3066328
2007-07-09,427.750000,429.750000,425.274994,427.750000,357.131836,1387644
2007-07-10,427.750000,428.750000,423.787506,425.575012,355.315887,1009752
2007-07-11,423.137512,429.500000,423.137512,425.437500,355.201141,1361608
2007-07-12,422.500000,431.274994,422.500000,429.725006,358.780762,1678808
2007-07-13,435.000000,446.600006,431.500000,442.125000,369.133667,3973572
2007-07-16,445.000000,446.250000,441.875000,444.137512,370.813934,1525896
2007-07-17,446.250000,458.500000,446.250000,456.837494,381.417175,3669260
2007-07-18,462.250000,462.250000,451.000000,455.000000,379.883087,2783060
2007-07-19,458.450012,481.250000,453.750000,474.112488,395.840240,4452400
2007-07-20,474.000000,480.500000,470.137512,471.737488,393.857300,3339664
2007-07-23,471.250000,478.750000,469.000000,477.725006,398.856354,1999640
2007-07-24,480.000000,483.000000,476.799988,477.924988,399.023285,3377912
2007-07-25,477.125000,478.500000,469.500000,475.850006,397.290924,2246612
2007-07-26,481.200012,487.000000,476.750000,485.250000,405.139008,3179476
2007-07-27,480.299988,484.500000,464.250000,466.612488,389.578400,8800484
2007-07-30,466.500000,475.000000,460.012512,461.962494,385.696075,4641628
2007-07-31,468.750000,474.750000,459.000000,473.075012,394.974030,2969528
2007-08-01,470.250000,470.250000,447.750000,449.500000,375.291046,6353856
